dataset,method,lv_paper,lv_ours,rmse_paper,rmse_ours,rmse_rel_diff,r2_paper,r2_ours,r2_abs_diff,mbd_paper,mbd_ours,mbd_abs_diff,rpiq_paper,rpiq_ours,lv_pass,rmse_pass,r2_pass,mbd_pass,all_pass
global,none,10,14,2.077,1.710518743393834,0.1764474032769215,0.626,0.5978254674791776,0.02817453252082236,0.006,0.05596030344593169,0.04996030344593169,0.426,0.5670794335029773,False,False,False,True,False
global,snv,14,12,1.812,1.6541066920389502,0.08713758717497232,0.715,0.6239150726753433,0.09108492732465667,-0.028,0.049691061479472755,0.07769106147947276,0.488,0.5864192465144556,False,False,False,False,False
global,msc,13,13,1.931,1.5966720195205928,0.17313722448441599,0.676,0.6495788422339788,0.026421157766021275,-0.009,0.054486380682252,0.063486380682252,0.458,0.6075136209196216,True,False,False,False,False
china,none,7,20,0.273,0.24093867436430788,0.11744075324429354,0.856,0.8304386474069005,0.02556135259309944,-0.006,0.08246405574712726,0.08846405574712726,2.898,2.1582255375645567,False,False,False,False,False
china,snv,6,22,0.253,0.20701929431023858,0.18174191972237716,0.878,0.8748198444573909,0.0031801555426090866,-0.024,0.05475193299943419,0.0787519329994342,3.119,2.511843167722953,False,False,True,False,False
china,msc,6,21,0.257,0.2140305265188127,0.16719639486843305,0.875,0.8661971762122863,0.008802823787713687,-0.004,0.05525144729317068,0.05925144729317068,3.075,2.429559971924348,False,False,True,False,False
china,"sg(w=7,p=2)",7,24,0.272,0.2217149047445008,0.18487167373345295,0.856,0.8564168032989115,0.0004168032989114723,-0.006,0.07754169912230639,0.0835416991223064,2.9,2.345354276471562,False,False,True,False,False
china,"sgd(w=19,p=2)",4,22,0.282,0.1897099581785031,0.3272696518492797,0.856,0.8948778836144521,0.0388778836144521,-0.026,0.05841046667161966,0.08441046667161965,2.803,2.7410263804429196,False,False,False,False,False
kenya,none,7,19,0.733,0.7567435560030817,0.03239230014062995,0.92,0.8932660915347129,0.026733908465287115,0.154,-0.16468628188713869,0.31868628188713866,2.389,1.6947617060313322,False,True,False,False,False
kenya,snv,6,15,0.713,0.7094342340036173,0.005001074328727486,0.924,0.9061942989374131,0.017805701062586943,0.077,-0.13343013912090249,0.21043013912090247,2.455,1.8077785628730465,False,True,True,False,False
kenya,msc,6,15,0.725,0.7210913499656557,0.005391241426681743,0.919,0.9030862224624181,0.01591377753758194,0.131,-0.11378151555891047,0.24478151555891048,2.413,1.7785541319571825,False,True,True,False,False
kenya,"sg(w=7,p=2)",7,19,0.733,0.7566863528078014,0.03231426031077954,0.92,0.8932822272250629,0.026717772774937143,0.154,-0.16458682699464197,0.31858682699464197,2.389,1.6948898248806599,False,True,False,False,False
kenya,"sgd(w=27,p=2)",4,14,1.3,0.8635658563464793,0.3357185720411698,0.803,0.8610060567787081,0.05800605677870807,0.209,-0.21627428864984666,0.4252742886498466,1.346,1.4851212453279719,False,False,False,False,False
indonesia,none,14,10,1.105,1.132811178108852,0.025168486976336578,0.784,0.687350875837708,0.09664912416229199,0.018,0.35324340724792574,0.33524340724792573,2.598,2.147312850550157,False,True,False,False,False
indonesia,snv,10,11,0.893,1.3792819760569546,0.544548685394126,0.874,0.5365015491984224,0.3374984508015776,-0.031,0.40400842518477864,0.43500842518477867,3.218,1.7635987725685724,True,False,False,False,False
indonesia,msc,13,9,0.849,1.1189854684089675,0.3180040852873587,0.876,0.6949359314016303,0.18106406859836965,-0.018,0.3343617725667301,0.3523617725667301,3.384,2.173844137099168,False,False,False,False,False
indonesia,"sg(w=7,p=2)",14,10,1.105,1.132912957527445,0.025260595047461584,0.784,0.6872946922897102,0.09670530771028985,0.018,0.35346066835181406,0.33546066835181404,2.598,2.147119938771706,False,True,False,False,False
indonesia,"sgd(w=25,p=2)",14,6,1.148,0.9984945006685255,0.1302312711946641,0.767,0.7570966416370851,0.009903358362914894,-0.102,0.1837583129455438,0.28575831294554377,2.501,2.436167648766578,False,False,True,False,False
